8-25 	0124678A	464644	Messiaen mode 6 (11221122)
8-26	0124579A	456562	Spanish Phrygian (r9) (12112122)/ Blues mode (21211212)
8-27	0124578A	456553	
8-27i	0124679A	456553	
8-28 	0134679A	448444	Alternating Octatonic or Diminished scale (12121212)
8-29	01235679	555553	
8-29i	02346789	555553	
9-1	012345678	876663	Chromatic Nonamirror
9-2	012345679	777663	
9-2i	023456789	777663	
9-3	012345689	767763	
9-3i	013456789	767763	
9-4	012345789	766773	
9-4i	012456789	766773	
9-5	012346789	766674	
9-5i	012356789	766674	
9-6	01234568A	686763	
9-7	01234578A	677673	Nonatonic Blues Scale (211111212)
9-7i	01234579A	677673	
9-8	01234678A	676764	
9-8i	01234689A	676764	
9-9	01235678A	676683	Raga Ramdasi Malhar (r2) (211122111)
9-10	01234679A	668664	
9-11	01235679A	667773	
9-11i	01235689A	667773	Diminishing Nonachord
9-12 	01245689A	666963	Tsjerepnin/Messiaen mode 3 (112112112)
10-1	0123456789	988884	Chromatic Decamirror
10-2	012345678A	898884	
10-3	012345679A	889884	
10-4	012345689A	888984	
10-5	012345789A	888894	Major-minor mixed (r7)
10-6 	012346789A	888885	Messiaen mode 7 (1111211112)
11-1	0123456789A	AAAAA5	Chromatic Undecamirror
12-1	0123456789AB	CCCCC6	Chromatic Scale/Dodecamirror (111111111111)
